#MAC NET_IP WIFI_IP CHANNEL WIFI_DEV WIFI_RNG SSH_USER SSH_PWD PROCESSOR NFS_DIRECTORY GW [NODE_NAME]
00:13:10:83:99:BE 192.168.1.1 192.168.2.1 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP1
00:0F:66:D9:BE:01 192.168.1.2 192.168.2.2 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP2
00:13:10:83:99:CA 192.168.1.3 192.168.2.3 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP3
00:18:39:BC:B5:8E 192.168.1.4 192.168.2.4 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP4
00:14:BF:3C:39:EA 192.168.1.5 192.168.2.5 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP5
00:18:39:BC:B5:8B 192.168.1.6 192.168.2.6 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP6
00:18:39:BC:B5:91 192.168.1.7 192.168.2.7 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP7
00:18:39:AE:58:46 192.168.1.8 192.168.2.8 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP8
00:18:39:AE:58:49 192.168.1.9 192.168.2.9 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP9
00:18:39:AE:58:4C 192.168.1.10 192.168.2.10 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP10
00:18:39:AE:8F:CC 192.168.1.11 192.168.2.11 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP11
00:1C:10:BF:AE:13 192.168.1.12 192.168.2.12 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP12
00:1C:10:BF:63:B8 192.168.1.20 192.168.2.20 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP20
00:1C:10:BF:8F:CE 192.168.1.21 192.168.2.21 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP21
00:1C:10:BF:6F:A3 192.168.1.22 192.168.2.22 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP22
00:1C:10:BF:70:0F 192.168.1.23 192.168.2.23 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP23
00:1C:10:BF:64:93 192.168.1.24 192.168.2.24 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP24
00:1C:10:BF:66:97 192.168.1.25 192.168.2.25 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP25
00:1C:10:BF:AB:C1 192.168.1.26 192.168.2.26 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP26
00:1C:10:BF:AD:4A 192.168.1.27 192.168.2.27 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP27
00:1C:10:BF:B4:94 192.168.1.28 192.168.2.28 3 eth1 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP28
00:1F:C6:60:D3:32 192.168.1.41 192.168.2.41 3 eth2 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP41
00:1F:C6:3C:1F:60 192.168.1.42 192.168.2.42 3 eth2 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP42
00:1F:C6:3C:2C:F3 192.168.1.43 192.168.2.43 3 eth2 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP43
00:1F:C6:3C:1F:83 192.168.1.44 192.168.2.44 3 eth2 250 root passwd MIPS /CASTADIVA/nfs 192.168.1.15 AP44
00:16:6F:50:7E:33 192.168.1.30 192.168.2.30 3 eth3 250 root passwd X86 /CASTADIVA/nfs 192.168.1.15 Deimos
00:16:6F:50:71:60 192.168.1.32 192.168.2.32 3 eth1 250 root passwd X86 /CASTADIVA/nfs 192.168.1.15 Chebello
00:19:7E:32:56:54 192.168.1.31 192.168.2.31 3 ath0 250 root passwd X86 /CASTADIVA/nfs 192.168.1.15 Fobos
00:0e:2e:e9:d4:81 192.168.1.15 192.168.2.15 3 wlan1 250 root passwd X86 /CASTADIVA/nfs 192.168.1.15 OvejaNegra

